# t[s] z[m]
 +0.0000  +1.5593
 +0.0158  +1.5524
 +0.0316  +1.6033
 +0.0474  +1.4708
 +0.0632  +1.5496
 +0.0790  +1.5091
 +0.0948  +1.4197
 +0.1106  +1.4774
 +0.1264  +1.4047
 +0.1422  +1.4413
 +0.1580  +1.3280
 +0.1738  +1.3815
 +0.1896  +1.3477
 +0.2054  +1.3774
 +0.2212  +1.2776
 +0.2370  +1.2773
 +0.2528  +1.2406
 +0.2686  +1.1512
 +0.2844  +1.1300
 +0.3002  +1.1122
 +0.3160  +1.0134
 +0.3318  +0.9613
 +0.3476  +0.9102
 +0.3634  +0.8227
 +0.3792  +0.8452
 +0.3950  +0.7221
 +0.4108  +0.8110
 +0.4266  +0.6124
 +0.4424  +0.6556
 +0.4582  +0.5353
 +0.4740  +0.4135
 +0.4898  +0.3850
 +0.5056  +0.2998
 +0.5214  +0.1835
 +0.5372  +0.1758
 +0.5530  +0.0635
 +0.5688  -0.0435
 +0.5846  -0.1762
 +0.6004  -0.3211
 +0.6162  -0.3207
 +0.6320  -0.4014
 +0.6478  -0.4381
 +0.6636  -0.6280
 +0.6794  -0.8434
 +0.6952  -0.8444
 +0.7110  -0.8417
 +0.7268  -1.1148
 +0.7426  -1.2346
 +0.7584  -1.3513
 +0.7742  -1.3530
 +0.7900  -1.5650
 +0.8058  -1.6009
 +0.8216  -1.7872
 +0.8374  -1.9080
 +0.8532  -2.0158
 +0.8690  -2.0875
 +0.8848  -2.3129
 +0.9006  -2.5648
 +0.9164  -2.5654
 +0.9322  -2.8195
 +0.9480  -2.8419
 +0.9638  -2.9277
 +0.9796  -3.2214
 +0.9954  -3.3476
 +1.0112  -3.4440
 +1.0269  -3.6765
 +1.0427  -3.8006
 +1.0585  -3.9324
 +1.0743  -4.0962
 +1.0901  -4.4079
 +1.1059  -4.3614
 +1.1217  -4.6227
 +1.1375  -4.8285
 +1.1533  -5.0310
 +1.1691  -5.1455
 +1.1849  -5.3068
 +1.2007  -5.6020
 +1.2165  -5.7314
 +1.2323  -6.0001
 +1.2481  -6.1954
 +1.2639  -6.2797
 +1.2797  -6.5331
 +1.2955  -6.7466
 +1.3113  -6.9000
 +1.3271  -7.0666
 +1.3429  -7.3169
 +1.3587  -7.5089
 +1.3745  -7.7688
 +1.3903  -8.0392
 +1.4061  -8.0997
 +1.4219  -8.3328
 +1.4377  -8.6588
 +1.4535  -8.7879
 +1.4693  -9.0436
 +1.4851  -9.3150
 +1.5009  -9.4905
 +1.5167  -9.7612
 +1.5325  -9.8920
 +1.5483 -10.2106
 +1.5641 -10.5080
