# t[s] u[V]
0.0000 4.7358
0.0204 3.8814
0.0408 3.3923
0.0612 2.6534
0.0816 2.2408
0.1020 1.8915
0.1224 1.3746
0.1429 1.0845
0.1633 0.9109
0.1837 0.8472
0.2041 0.7019
0.2245 0.5424
0.2449 0.4367
0.2653 0.3515
0.2857 0.2795
0.3061 0.2315
0.3265 0.1790
0.3469 0.1445
0.3673 0.1160
0.3878 0.1023
0.4082 0.0900
0.4286 0.0715
0.4490 0.0604
0.4694 0.0447
0.4898 0.0370
0.5102 0.0295
0.5306 0.0255
0.5510 0.0203
0.5714 0.0173
0.5918 0.0120
0.6122 0.0101
0.6327 0.0090
0.6531 0.0074
0.6735 0.0058
0.6939 0.0048
0.7143 0.0039
0.7347 0.0033
0.7551 0.0027
0.7755 0.0022
0.7959 0.0019
0.8163 0.0014
0.8367 0.0012
0.8571 0.0010
0.8776 0.0008
0.8980 0.0006
0.9184 0.0004
0.9388 0.0004
0.9592 0.0003
0.9796 0.0003
1.0000 0.0002
